game,team,difficulty,formation,lineup
Galatasaray vs. Giresunspor - Saturday August 13 - 2022,Galatasaray,easy,4-2-3-1,MUSLERA;BOEY;NELSSON;BARDAKCI;AANHOLT;MIDTSJO;OLIVEIRA;AKGUN;AKBABA;AKTURKOGLU;SEFEROVIC
Galatasaray vs. Giresunspor - Saturday August 13 - 2022,Giresunspor,hard,4-2-3-1,PIRI;BILAZER;PICINCIOL;PEREZ;ULUDAG;TRAORE;MEJIA;JUNIOR;SAVICEVIC;SAINZ;BAJIC
Giresunspor vs. Goztepe - Sunday February 27 - 2022,Giresunspor,hard,4-4-1-1,KOCUK;YAVRU;DIARRA;PEREZ;BEHICH;JUNIOR;CHIQUINHO;FLAVIO;GUMUSKAYA;DIABATE;NAYIR
Giresunspor vs. Goztepe - Sunday February 27 - 2022,Goztepe,hard,3-4-3,EGRIBAYAT;CANKAYA;NUKAN;ANGEL;ALICI;NWOBODO;AYDOGDU;EMIR;NDIAYE;AKBUNAR;TANNANE
Alanyaspor vs. Konyaspor - Saturday December 2 - 2023,Alanyaspor,hard,4-2-3-1,KARAGOZ;AUGUSTO;LIMA;ALITI;OZDEMIR;RICHARD;NOVAIS;AYDIN;KARACA;SISTO;CORDOVA
Alanyaspor vs. Konyaspor - Saturday December 2 - 2023,Konyaspor,hard,4-2-3-1,BERNARDONI;OGUZ;DEMIRBAG;CALVO;SITYA;DIKMEN;ULGUN;MURIC;CICALDAU;MORENO;CIKALLESHI
Istanbul Basaksehir vs. Galatasaray - Saturday May 7 - 2022,Basaksehir,easy,4-1-4-1,BABACAN;CAICARA;KOYUNCU;EPUREANU;LIMA;CIGERCI;TURUC;TEKDEMIR;OZCAN;TREZEGUET;GULBRANDSEN
Istanbul Basaksehir vs. Galatasaray - Saturday May 7 - 2022,Galatasaray,easy,4-1-4-1,MUSLERA;BOEY;NELSSON;OZTURK;AANHOLT;ANTALYALI;BABEL;CICALDAU;KUTLU;AKTURKOGLU;MOHAMED
Sivasspor vs. Alanyaspor - Saturday March 9 - 2024,Sivasspor,hard,4-3-3,VURAL;PALULI;APPINDANGOYE;OSMANPASA;CIFTCI;TURG`UNBOYEV;CHARISIS;CAKTAS;BASSAN;MANAJ;KOITA
Sivasspor vs. Alanyaspor - Saturday March 9 - 2024,Alanyaspor,hard,4-2-3-1,TASKIRAN;HADERGJONAJ;BAYIR;ALITI;BALKOVEC;RICHARD;FER;AYDIN;KARACA;OZDEMIR;KOKA
Konyaspor vs. Kayserispor - Saturday October 23 - 2021,Konyaspor,hard,4-4-2,SEHIC;SKUBIC;CALIK;BARDAKCI;SITYA;GURLER;ULGUN;HADZIAHMETOVIC;BYTYQI;KOKA;CEKICI
