game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Galatasaray vs. Manisaspor - Sunday February 11 - 2007,Manisaspor,hard,3-5-2,TUNCAY;KALABANE;BOZKURT;OZSARAC;KOC;INAN;INCEMAN;ZELENKA;ASKAROGLU;REINALDO;HOLOSKO,48;28;4;3;54;18;10;77;43;15;14,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0,0;1;1;0;0;0;0;1;0;0;0,61598
Genclerbirligi vs. Bursaspor - Sunday February 11 - 2007,Bursaspor,hard,4-4-2,CATKIC;BEKIROGLU;KORKMAZ;ERDOGAN;YIGIT;ACAR;SUMULIKOSKI;BOZACI;BARIS;AKDIS;KALOGLU,1;47;16;4;22;8;18;5;2;54;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;1;0;0;1,0;1;0;0;0;0;0;1;0;0;0,61599
Genclerbirligi vs. Bursaspor - Sunday February 11 - 2007,Genclerbirligi,hard,4-4-2,OZTURK;AYDIN;TRAORE;UZUMCU;GUVEN;CAKIR;SERAS;NAS;BAYTAR;OZTURK;PROMISE,1;34;5;35;44;10;61;7;38;9;14,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;1;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;0;1;0;1,61599
Kayseri Erciyesspor vs. Ankaraspor - Sunday February 11 - 2007,Ankaraspor,hard,4-5-1,ARIKAN;WEDERSON;BATAK;BAHTIYAROGLU;YOLDAS;DEMIRHAN;PETROUS;KISA;KOCAK;HURMACI;HACIOGLU,84;6;3;16;4;71;2;19;66;20;53,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;1;0,61597
Kayseri Erciyesspor vs. Ankaraspor - Sunday February 11 - 2007,Kayseri Erciyesspor,hard,4-4-2,USAK;OZKAYNAK;DUYMUS;TURAN;KOK;BOYRAZ;SARP;TORAMAN;OZBAY;DJALOVIC;ISLER,54;39;4;38;19;26;15;5;66;9;21,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;1;1;1;0;0;0;0;0;0;0,0;0;0;0;1;0;0;1;0;1;0,61597
Sakaryaspor vs. Sivasspor - Sunday February 11 - 2007,Sakaryaspor,hard,4-4-2,MARTINEZ;ERDOGAN;USTA;DEMIR;DUMAN;CANGELE;TURHAN;OZMERT;AYDIN;GRAF;YANIK,55;33;61;5;51;9;6;8;7;27;13,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;1;0;0;0;1;0,61601
Sakaryaspor vs. Sivasspor - Sunday February 11 - 2007,Sivasspor,hard,4-4-2,PETKOVIC;YERLIKAYA;HOCAOGLU;CETIN;SOZGELMEZ;TOPRAKTEPE;ELMACI;FRANSERGIO;KUS;YILDIZ;BALILI,1;58;4;76;55;18;42;30;54;9;17,0;0;0;1;0;0;0;0;0;1;1,0;0;0;0;0;1;0;0;0;1;1,0;0;0;0;0;0;0;0;1;0;0,0;0;1;0;0;1;1;0;0;0;1,61601
Trabzonspor vs. Gaziantepspor - Sunday February 11 - 2007,Gaziantepspor,hard,4-4-2,HASAGIC;BAYAR;AFANOU;IRTEGUN;AKINCI;YILDIRIM;KIRITA;COGUM;OZTONGA;DIAWARA;DE NIGRIS,1;26;14;4;77;36;3;6;41;19;10,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;1;0;0;0;0;0,0;0;0;0;1;1;0;0;0;0;1,61602
Konyaspor vs. Besiktas - Friday February 16 - 2007,Konyaspor,hard,4-5-1,ONGUN;KAUE;EL SAKA;GUNDOSTU;SEKMAN;OZGUR;ER;NECA;AGCAY;ERGIN;TURKMEN,1;11;5;4;6;19;13;99;15;8;33,0;0;0;0;0;1;0;0;0;0;1,0;1;0;0;0;0;0;0;1;0;0,0;0;0;1;0;1;0;1;0;0;0,0;0;0;0;0;1;0;0;1;0;1,61609
Bursaspor vs. Rizespor - Saturday February 17 - 2007,Bursaspor,hard,4-4-2,CATKIC;BEKIROGLU;KORKMAZ;GULDUREN;YIGIT;FRASINEANU;SUMULIKOSKI;PANCU;MATEUS PARANA;AKDIS;YAGMUR,1;47;16;3;22;10;18;19;17;54;24,0;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;1;0;0;0;1;1;0;0;0,0;0;0;0;0;0;0;1;1;1;0,61604
