game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_substitutions,source_match_id
Trabzonspor vs. Kayseri Erciyesspor - Friday October 21 - 2005,Kayseri Erciyesspor,hard,4-2-3-1,FADHEL;ATES;KARGIN;TORAMAN;KOK;BOUAZIZI;DIE;BAYAZIT;JULIO CESAR;AYHAN;ISLER,1;3;45;5;19;13;6;10;11;72;21,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;1;0;0;0;0;1;0;0,0;0;0;0;0;0;1;1;0;0;1,37406
Trabzonspor vs. Kayseri Erciyesspor - Friday October 21 - 2005,Trabzonspor,easy,4-4-2,JEFFERSON;KOCAK;DUYMUS;YAVUZ;EREN;LEE;CORA;KOCAK;YATTARA;YILMAZ;JUN,1;99;49;38;34;19;18;66;11;10;21,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;1;0;0;0;0;1;0;0,0;1;0;1;0;0;1;0;0;0;0,37406
Ankaragucu vs. Ankaraspor - Saturday October 22 - 2005,Ankaragucu,hard,4-4-2,USAK;ZENGUE;KUTLU;BAYRAK;GUNEY;BULUT;CORIDON;TURHAN;EVREN;MANSIZ;GHERIENI,34;20;4;3;12;10;32;7;14;26;30,0;0;0;0;0;2;0;0;0;1;0,0;0;0;0;1;0;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;1;0;1,37399
Ankaragucu vs. Ankaraspor - Saturday October 22 - 2005,Ankaraspor,hard,4-2-3-1,JEVRIC;WEDERSON;BATAK;TUNC;YIGIT;GUCER;MOLNAR;TITA;OZGUR;BUYUK;JABA,1;30;3;5;22;50;77;11;7;6;20,0;0;0;0;0;0;0;1;0;0;1,0;1;0;0;0;0;0;0;0;1;0,0;1;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;1;0;1;0,37399
Galatasaray vs. Denizlispor - Saturday October 22 - 2005,Denizlispor,hard,4-2-3-1,HAMIDOU;KECELI;CELIK;KRATOCHVIL;OZSARAC;ERTUGRUL;ABRAHAM;EGEDIK;SIMSEK;MULTAHARJU;RIZA,16;11;21;7;3;25;4;8;5;22;10,0;0;0;0;0;0;0;0;0;1;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;0;0;0,0;0;0;0;0;1;0;1;0;0;1,37400
Galatasaray vs. Denizlispor - Saturday October 22 - 2005,Galatasaray,easy,4-4-2,MONDRAGON;AK;SONG;TOMAS;HASPOLATLI;ILIC;SAIDOU;HEINZ;SAS;KARAN;SUKUR,1;5;4;2;19;22;7;8;11;99;9,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;0;0;0;1,1;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,37400
Kayserispor vs. Samsunspor - Saturday October 22 - 2005,Kayserispor,hard,4-4-2,IVANKOV;TEBER;SADYQOV;YOLDAS;ARSLAN;CEYLAN;JOHNSON;BOLUKBASI;TOPUZ;RODIC;UNAL,27;41;14;4;38;81;15;3;66;32;9,0;0;0;0;0;1;0;1;1;2;1,0;0;0;0;0;0;0;1;0;0;3,0;0;0;0;0;1;1;0;0;1;0,0;0;0;0;0;1;0;0;1;1;0,37402
Kayserispor vs. Samsunspor - Saturday October 22 - 2005,Samsunspor,hard,4-2-3-1,INAN;AYARI;PETKOV;YELEK;GUNGOR;GHODHBANE;MARCIEL;AKDENIZ;AYDIN;SAGIR;MARQUES,16;5;30;28;13;6;32;11;7;55;19,0;0;0;0;0;1;0;0;0;1;1,0;0;0;0;0;1;0;0;1;0;0,0;1;1;0;0;0;0;0;0;0;0,0;0;1;0;0;0;1;1;0;0;0,37402
Gaziantepspor vs. Rizespor - Sunday October 23 - 2005,Gaziantepspor,hard,3-4-1-2,HASAGIC;IRTEGUN;GURACAR;KORKMAZ;KOC;AGCAY;YURT;OZBAY;GUNES;IVANOV;LAZAROV,1;4;99;27;17;7;38;66;15;69;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;1;1;1;0;1,0;0;0;1;1;0;1;0;0;0;0,37401
Gaziantepspor vs. Rizespor - Sunday October 23 - 2005,Rizespor,hard,3-4-1-2,ZDRAVKOV;KURKCU;ALLYSON;EL TABEI;OZDEMIR;TATAN;ALPUGAN;BAKI;DOUGLAS;OZTURK;AKYUZ,1;53;21;15;11;3;74;7;8;9;10,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;1;0;0;0;0,0;0;0;0;0;1;0;0;1;0;1,37401
Konyaspor vs. Besiktas - Sunday October 23 - 2005,Besiktas,easy,4-2-3-1,CORDOBA;UZULMEZ;ATAN;DURSUN;DOGAN;HAVUTCU;AVCI;AKIN;KLEBERSON;AHMED HASSAN;AILTON,35;19;6;2;4;3;41;55;15;17;9,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;1;0;0;0,0;0;1;0;0;0;1;0;0;0;1,0;1;0;0;0;1;0;0;0;1;0,37403
Konyaspor vs. Besiktas - Sunday October 23 - 2005,Konyaspor,hard,4-4-2,ONGUN;ALBAYRAK;EL SAKA;GUNDOSTU;CELIK;HACIOGLU;DEMIR;ER;ERGIN;TURKMEN;BELAL,1;77;5;4;42;53;25;13;21;33;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;0;1,37403
Malatyaspor vs. Fenerbahce - Sunday October 23 - 2005,Fenerbahce,easy,4-2-3-1,DEMIREL;OZAT;LUCIANO;TURACI;BALCI;MEHMET AURELIO;APPIAH;SANLI;ALEX;YOZGATLI;ANELKA,1;5;2;19;30;15;4;10;20;7;39,0;0;0;0;0;0;0;1;0;2;0,0;1;0;0;0;0;0;1;1;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;1;0;1;0;1;0;0,37404
Malatyaspor vs. Fenerbahce - Sunday October 23 - 2005,Malatyaspor,hard,4-5-1,TUNCAY;AYDIN;AK;HOMOLA;KORKMAZ;KISA;SOYLER;TOTH;JOHANSSON;BENSOL;OZKAN,48;34;54;33;44;19;68;26;24;99;11,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;0;0,0;1;1;0;0;0;1;0;0;0;0,37404
Manisaspor vs. Genclerbirligi - Sunday October 23 - 2005,Genclerbirligi,hard,4-4-2,CATKIC;JARDLER;OZBEY;RISP;GUVEN;BORAL;UGUR;SERAS;GULDUREN;CAKIR;PROMISE,1;16;6;3;44;20;18;61;2;8;14,0;0;0;0;1;0;0;0;0;1;0,0;0;0;0;0;1;1;0;0;0;1,0;0;1;0;0;1;0;0;0;0;0,0;0;0;0;0;1;0;0;0;1;1,37407
