game,team,difficulty,formation,lineup,lineup_numbers
Ankaragucu vs. Diyarbakirspor - Friday March 8 - 2002,Ankaragucu,hard,3-5-2,OZGULTEKIN;BARIS;KUTLU;OZSARAC;DURSUN;TASDEMIR;NAMDAR;OZLEM;GUNEY;KELES;AHINFUL,22;45;4;3;2;76;39;5;12;10;15
Ankaragucu vs. Diyarbakirspor - Friday March 8 - 2002,Diyarbakirspor,hard,3-5-2,KARAGOL;MOURA;ZAFER;DUMAN;KOCAK;YUCETAS;KOLGU;DIDA;ALACAYIR;ULUSAL;DEBRAH,28;33;5;51;99;6;11;20;7;8;26
Galatasaray vs. Besiktas - Saturday March 9 - 2002,Besiktas,easy,4-3-3,MYHRE;UZULMEZ;RONALDO GUIARO;BESERLER;GURACAR;HAVUTCU;YILDIRIM;BEKTAS;METIN;MANSIZ;BAYA,1;19;5;44;18;3;4;11;67;26;7
Galatasaray vs. Besiktas - Saturday March 9 - 2002,Galatasaray,easy,4-4-2,MONDRAGON;PENBE;ASIK;KORKMAZ;PEREZ;AKMAN;FLEURQUIN;BATISTA;SAS;KARAN;ERDEM,1;67;5;3;15;18;23;4;11;9;6
Rizespor vs. Genclerbirligi - Saturday March 9 - 2002,Genclerbirligi,hard,3-5-2,SONMEZ;EL SAKA;DOGANTEZ;TOPRAKTEPE;DAEMS;AHMED HASSAN;BASTURK;ZDEBEL;GULDUREN;AYDIN;MBAYO,22;6;4;2;20;12;10;8;3;19;14
Rizespor vs. Genclerbirligi - Saturday March 9 - 2002,Rizespor,hard,3-5-2,HAMIDOU;DIENG;AVCI;ASIL;KAZMAZ;AYHAN;NAMLI;ALPUGAN;OZDEMIR;OZER;TETTEH,1;14;41;6;53;8;11;74;88;7;35
Samsunspor vs. Istanbulspor - Saturday March 9 - 2002,Istanbulspor,hard,3-5-2,ZDRAVKOV;AYHAN;AKBAS;ANDRE BORGES;PETKOV;SAHIN;ERDOGAN;ONATLI;SAIDOU;ZUBANOVIC;ISLER,1;69;98;2;6;21;33;35;20;7;9
Samsunspor vs. Istanbulspor - Saturday March 9 - 2002,Samsunspor,hard,3-5-2,BOUKAR;HOCAOGLU;KOLOGLU;YELEK;SAGIR;CAN;SOUZA;DOKME;KORKMAZ;YILMAZ;SAGLAM,12;4;5;34;55;99;18;15;7;10;6
Yimpas Yozgatspor vs. Trabzonspor - Saturday March 9 - 2002,Trabzonspor,easy,3-5-2,ATAMAN;DUYMUS;MARKOV;OZKOYLU;OZGUR;KAHRAMAN;KARADENIZ;MEHMET AURELIO;BECEREN;MANDIRALI;DEMIRAY,35;49;55;5;11;25;61;15;34;10;37
Yimpas Yozgatspor vs. Trabzonspor - Saturday March 9 - 2002,Yimpas Yozgatspor,hard,3-5-2,TOKGOZ;ARSLAN;MARJAMAA;BAYER;KARACA;HAMZAOGLU;HINCAL;YAW;DALCICEK;KARAKAYIS;SUMIALA,99;4;5;51;6;8;7;15;66;59;9
Antalyaspor vs. Fenerbahce - Sunday March 10 - 2002,Antalyaspor,hard,3-5-2,RICHARD KINGSON;GINCHEV;SAATCIOGLU;KAMBUROGLU;GURSEL;CIMSIR;YAVAS;KARAMAN;YALCINKAYA;BIRLIK;YASAN,78;23;5;74;39;11;35;34;19;24;7
Antalyaspor vs. Fenerbahce - Sunday March 10 - 2002,Fenerbahce,easy,3-5-2,RECBER;AKYEL;TEMIZKANOGLU;MIRKOVIC;ERCAN;JOHNSON;RAPAIC;SIMAO;AKIN;DERELIOGLU;ANDERSSON,1;22;3;6;18;28;8;25;9;29;19
Denizlispor vs. Goztepe - Sunday March 10 - 2002,Denizlispor,hard,3-5-2,KUCUK;CIMEN;AKICI;ERTUGRUL;BAYAZIT;KARTOP;BOYRAZ;KAHRAMAN;TANDOGAN;COULIBALY;CIHAN,1;3;4;55;7;6;44;5;22;27;50
Denizlispor vs. Goztepe - Sunday March 10 - 2002,Goztepe,hard,3-5-2,KORK;GUSAR;CETIN;SOZERI;ONUR;BOZACI;YUNGUL;OZTURK;AKINCI;OZKAN;BIRYOL,18;41;36;27;46;53;8;54;34;11;15
