game,team,difficulty,formation,lineup
Kardemir Dc Karabukspor vs. Orduspor - Saturday October 1 - 2011,Kardemir Dc Karabukspor,hard,4-3-3,TOMIC;SERIC;NIKOLIC;OZDIN;OZGENC;RAGUED;CERNAT;HIKMET;SHELTON;PARLAK;CAKIR
Kardemir Dc Karabukspor vs. Orduspor - Saturday October 1 - 2011,Orduspor,hard,4-3-3,FORNEZZI;OZKAN;AYHAN;CURUKSU;GARCIA;TUNCER;CULIO;GOSSO;STANCU;TEKKE;DALMAT
Ankaragucu vs. Galatasaray - Sunday October 2 - 2011,Ankaragucu,hard,4-3-3,ONGUN;RAJNOCH;TOSCALI;BAHTIYAROGLU;UCAR;KAGAN SOYLEMEZGILLER;GUCER;TISDELL;CEK;KELES;SAHIN
Ankaragucu vs. Galatasaray - Sunday October 2 - 2011,Galatasaray,easy,4-1-4-1,MUSLERA;BALTA;UJFALUSI;ZAN;SARIOGLU;FELIPE MELO;RIERA;INAN;BAYTAR;KAZIM-RICHARDS;ELMANDER
Eskisehirspor vs. Trabzonspor - Sunday October 2 - 2011,Eskisehirspor,hard,4-5-1,IVESA;DEDE;DIEGO ANGELO;NADAREVIC;ARSLAN;ZENGIN;SARI;POTUK;COSKUN;OZBAYRAKTAR;KAMARA
Eskisehirspor vs. Trabzonspor - Sunday October 2 - 2011,Trabzonspor,easy,4-3-3,ZENGIN;CELUSTKA;KACAR;YUMLU;BALCI;ZOKORA;MIERZEJEWSKI;COLMAN;ALTINTOP;YILMAZ;SEN
Kayserispor vs. Mersin Idmanyurdu - Sunday October 2 - 2011,Kayserispor,hard,4-3-3,NAVARRO;KALDIRIM;GUNGOR;ZURAB KHIZANISHVILI;PEKARIK;SANTANA;BEKDEMIR;RIVEROS;AMRABAT;UNAL;YILMAZ
Kayserispor vs. Mersin Idmanyurdu - Sunday October 2 - 2011,Mersin Idmanyurdu,hard,4-4-2,ARIKAN;KECELI;BOUM;KAS;OZBAY;ANDRE MORITZ;BEN YAHIA;ZURITA;OZOKWO;NOBRE;BETO
Gaziantepspor vs. Besiktas - Monday October 3 - 2011,Besiktas,easy,4-3-3,RECBER;KOYBASI;KORKMAZ;SIDNEI;DAG;FERNANDES;MEHMET AURELIO;UYSAL;SIMAO;PEKTEMEK;HOLOSKO
Gaziantepspor vs. Besiktas - Monday October 3 - 2011,Gaziantepspor,hard,4-2-3-1,KARCEMARSKAS;IVAN;GUNGOR;NOUNKEU;SUME;GULLE;KURTULUS;POPOV;WAGNER;SOSA;TOSUN
