game,team,difficulty,formation,lineup
Ankaragucu vs. Kayserispor - Friday October 2 - 2020,Kayserispor,hard,4-2-3-1,SILVIU LUNG JR;SUBASI;KOLOVETSIOS;SAPUNARU;LOPES;CAMPANHARO;ATTAMAH;PARLAK;ACAR;KVRZIC;KANGA
Gaziantep FK vs. Trabzonspor - Friday October 2 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;JUNIOR MORAIS;DJILOBODJI;KANA-BIYIK;TOSCA;CEYLAN;JEFFERSON;SOUSA;VURAL;DEMIR;MAXIM
Gaziantep FK vs. Trabzonspor - Friday October 2 - 2020,Trabzonspor,easy,4-4-2,KARDESLER;MARLON;IE;TURKMEN;PEREIRA;NWAKAEME;FLAVIO;BAKER;OMUR;AFOBE;EKUBAN
Basaksehir vs. Goztepe - Saturday October 3 - 2020,Basaksehir,hard,4-4-2,GUNOK;KALDIRIM;EPUREANU;PONCK;JUNIOR CAICARA;DEMIR;TOPAL;ALEKSIC;VISCA;CRIVELLI;BA
Basaksehir vs. Goztepe - Saturday October 3 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;EMIR;NUKAN;OZTURK;PALULI;AYDOGDU;KAYAN;TRIPIC;MARCIO MOSSORO;AKBUNAR;IDEYE
Buyuksehir Belediye Erzurumspor vs. Rizespor - Saturday October 3 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-1-4-1,FARNOLLE;KANAK;HATIPOGLU;MINA;UCAR;BOUMAL;NOVIKOVAS;OBERTAN;AKDAG;BASSAN;MUHAMMED
Buyuksehir Belediye Erzurumspor vs. Rizespor - Saturday October 3 - 2020,Rizespor,hard,4-1-4-1,AKKAN;MELNJAK;MERIAH;DILAVER;MOROZYUK;PEHLIVAN;MICHALAK;ERDOGAN;FABRICIO BAIANO;FERNANDO BOLDRIN;REMY
Fenerbahce vs. Fatih Karagumruk - Saturday October 3 - 2020,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;ZUKANOVIC;ROCO;LICHAJ;BIGLIA;DARRI;NDAO;SABO;SALIBUR;SOBIECH
Fenerbahce vs. Fatih Karagumruk - Saturday October 3 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;TISSERAND;LEMOS;GONUL;SOSA;LUIZ GUSTAVO;THIAM;TUFAN;VALENCIA;SAMATTA
Yeni Malatyaspor vs. Antalyaspor - Saturday October 3 - 2020,Antalyaspor,hard,4-1-4-1,BOFFIN;ALBAYRAK;KUDRYASHOV;SARI;BALCI;SAHIN;AMILTON;FREDY;OZMERT;MUKAIRU;JAHOVIC
Yeni Malatyaspor vs. Antalyaspor - Saturday October 3 - 2020,Yeni Malatyaspor,hard,4-2-3-1,DAMLU;KARIM HAFEZ;KAYA;WALLACE;CHEBAKE;ACQUAH;ILDIZ;BUYUK;CUEVA;LUKOKI;TETTEH
Alanyaspor vs. Hatayspor - Sunday October 4 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;UCAN;SIOPIS;BAKASETAS;DAVIDSON;BAREIRO;KARACA
Alanyaspor vs. Hatayspor - Sunday October 4 - 2020,Hatayspor,hard,4-2-3-1,EL KAJOUI;CAYTEMEL;SANTOS;ABDIOGLU;POPOV;SACKEY;AABID;BARBOSA;KARADENIZ;ILGAZ;DIOUF
Besiktas vs. Genclerbirligi - Sunday October 4 - 2020,Besiktas,easy,4-1-4-1,DESTANOGLU;YILMAZ;MONTERO;WELINTON;UYSAL;SOUZA;BOYD;TOKOZ;HUTCHINSON;TORE;ABOUBAKAR
Besiktas vs. Genclerbirligi - Sunday October 4 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;POLOMAT;DIEGO ANGELO;TOURE;JOHANSSON;PIRIS DA MOTTA;OZDEMIR;YILMAZ;FURMAN;CANDEIAS;STANCU
Denizlispor vs. Konyaspor - Sunday October 4 - 2020,Denizlispor,hard,3-5-2,PANTILIMON;SUBOTIC;FABIANO;YUMLU;SAGAL;NIYAZ;AISSATI;BAKALORZ;LOPES;RODALLEGA;MESANOVIC
Denizlispor vs. Konyaspor - Sunday October 4 - 2020,Konyaspor,hard,4-2-3-1,SEHIC;GUILHERME;BARDAKCI;DEMIROK;SKUBIC;JEVTOVIC;HADZIAHMETOVIC;MILOSEVIC;SAHINER;SHENGELIA;KRAVETS
Kasimpasa vs. Galatasaray - Sunday October 4 - 2020,Galatasaray,easy,4-1-4-1,OZTURK;TASDEMIR;MARCAO;LUYINDAMA;ELABDELLAOUI;ANTALYALI;TURAN;BELHANDA;ETEBO;FEGHOULI;DIAGNE
Kasimpasa vs. Galatasaray - Sunday October 4 - 2020,Kasimpasa,hard,4-2-3-1,KOSE;HADDADI;JEANVIER;SERBEST;HADERGJONAJ;TIRPAN;KARA;ERDOGAN;HAJRADINOVIC;CARIUS;HODZIC
Kayserispor vs. Sivasspor - Saturday October 17 - 2020,Kayserispor,hard,4-3-1-2,SILVIU LUNG JR;SUBASI;SAPUNARU;KOLOVETSIOS;KVRZIC;CAMPANHARO;ACKAH;ACAR;FERNANDES;PARLAK;KANGA
Kayserispor vs. Sivasspor - Saturday October 17 - 2020,Sivasspor,hard,4-2-3-1,SAMASSA;ERDAL;CAMARA;OSMANPASA;MARCELO GOIANO;COFIE;ARSLAN;GRADEL;FAJR;YESILYURT;YATABARE
Konyaspor vs. Yeni Malatyaspor - Saturday October 17 - 2020,Konyaspor,hard,4-2-3-1,SEHIC;GUILHERME;BARDAKCI;CALIK;SKUBIC;HADZIAHMETOVIC;JEVTOVIC;MILOSEVIC;SAHINER;SHENGELIA;KRAVETS
Konyaspor vs. Yeni Malatyaspor - Saturday October 17 - 2020,Yeni Malatyaspor,hard,4-2-3-1,DAMLU;KAS;KAYA;WALLACE;CHEBAKE;ACQUAH;ILDIZ;YAVRU;SAHAN;FOFANA;TETTEH
Rizespor vs. Ankaragucu - Saturday October 17 - 2020,Ankaragucu,hard,4-1-4-1,FRIEDRICH;PINTO;DIKMEN;PAZDAN;KITSIOU;VOCA;PAINTSIL;POTUK;CETIN;LOBJANIDZE;BØRVEN
Rizespor vs. Ankaragucu - Saturday October 17 - 2020,Rizespor,hard,4-1-4-1,AKKAN;MELNJAK;MERIAH;DILAVER;MOROZYUK;DURAK;ANDRADE;FABRICIO BAIANO;DONSAH;FERNANDO BOLDRIN;REMY
Trabzonspor vs. Basaksehir - Saturday October 17 - 2020,Basaksehir,hard,4-1-4-1,GUNOK;BOLINGOLI;EPUREANU;SKRTEL;JUNIOR CAICARA;TOPAL;TURUC;RAFAEL;KAHVECI;VISCA;BA
Trabzonspor vs. Basaksehir - Saturday October 17 - 2020,Trabzonspor,easy,4-2-3-1,CAKIR;MARLON;VITOR HUGO;IE;PEREIRA;COREKCI;BAKER;DIABATE;KINALI;OMUR;AFOBE
Antalyaspor vs. Gaziantep FK - Sunday October 18 - 2020,Antalyaspor,hard,4-4-2,BOFFIN;KUDRYASHOV;NALDO;SARI;YILMAZ;AMILTON;BALCI;SAHIN;SAM;JAHOVIC;PODOLSKI
Antalyaspor vs. Gaziantep FK - Sunday October 18 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;JUNIOR MORAIS;KANA-BIYIK;DJILOBODJI;TOSCA;CEYLAN;MAXIM;SOUSA;VURAL;DICKO;MIRALLAS
Fatih Karagumruk vs. Kasimpasa - Sunday October 18 - 2020,Fatih Karagumruk,hard,4-1-4-1,VIVIANO;BALKOVEC;ZUKANOVIC;ROCO;LICHAJ;BIGLIA;SALIBUR;SABO;NDIAYE;NDAO;SOBIECH
Fatih Karagumruk vs. Kasimpasa - Sunday October 18 - 2020,Kasimpasa,hard,4-1-4-1,KOSE;HADDADI;JEANVIER;SERBEST;HADERGJONAJ;TIRPAN;CARIUS;KARA;HAJRADINOVIC;ERDOGAN;KOITA
Goztepe vs. Fenerbahce - Sunday October 18 - 2020,Fenerbahce,easy,4-2-3-1,BAYINDIR;ERKIN;TISSERAND;AZIZ;SANGARE;SOSA;LUIZ GUSTAVO;PELKAS;TUFAN;VALENCIA;SAMATTA
Goztepe vs. Fenerbahce - Sunday October 18 - 2020,Goztepe,hard,4-1-4-1,EGRIBAYAT;EMIR;NUKAN;MIHOJEVIC;PALULI;POKO;TRIPIC;GUILHERME;AYDOGDU;AKBUNAR;IDEYE
Galatasaray vs. Alanyaspor - Monday October 19 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;UCAN;SIOPIS;BAKASETAS;DAVIDSON;BAREIRO;BABACAR
Galatasaray vs. Alanyaspor - Monday October 19 - 2020,Galatasaray,easy,4-2-3-1,OZTURK;SARACCHI;MARCAO;LUYINDAMA;LINNES;ANTALYALI;ETEBO;BABEL;AKBABA;KILINC;FALCAO
Genclerbirligi vs. Denizlispor - Monday October 19 - 2020,Denizlispor,hard,4-2-3-1,PANTILIMON;LOPES;YUMLU;SUBOTIC;OZDEMIR;NIYAZ;BAKALORZ;SAGAL;VARELA;MESANOVIC;RODALLEGA
Genclerbirligi vs. Denizlispor - Monday October 19 - 2020,Genclerbirligi,hard,4-2-3-1,NORDFELDT;POLOMAT;DIEGO ANGELO;TOURE;JOHANSSON;PIRIS DA MOTTA;OZDEMIR;YILMAZ;FURMAN;CANDEIAS;STANCU
Kasimpasa vs. Goztepe - Friday October 23 - 2020,Goztepe,hard,4-2-3-1,EGRIBAYAT;EMIR;NUKAN;MIHOJEVIC;GASSAMA;KAYAN;AYDOGDU;AKBUNAR;MARCIO MOSSORO;GUILHERME;IDEYE
Kasimpasa vs. Goztepe - Friday October 23 - 2020,Kasimpasa,hard,4-1-4-1,KOSE;HADDADI;SERBEST;SADIKU;HADERGJONAJ;TIRPAN;HODZIC;KARA;HAJRADINOVIC;ERDOGAN;KOITA
Basaksehir vs. Antalyaspor - Saturday October 24 - 2020,Antalyaspor,hard,4-4-2,BOFFIN;KUDRYASHOV;GULUM;NALDO;SARI;AMILTON;BALCI;SAHIN;YILMAZ;ORGILL;PODOLSKI
Basaksehir vs. Antalyaspor - Saturday October 24 - 2020,Basaksehir,hard,4-4-2,GUNOK;BOLINGOLI;EPUREANU;SKRTEL;RAFAEL;TURUC;TEKDEMIR;KAHVECI;VISCA;BA;CRIVELLI
Buyuksehir Belediye Erzurumspor vs. Galatasaray - Saturday October 24 - 2020,Buyuksehir Belediye Erzurumspor,hard,4-1-4-1,FARNOLLE;ALBAYRAK;HATIPOGLU;MINA;UCAR;BOUMAL;NOVIKOVAS;OBERTAN;AKDAG;BASSAN;GOMES
Buyuksehir Belediye Erzurumspor vs. Galatasaray - Saturday October 24 - 2020,Galatasaray,easy,4-1-4-1,KOCUK;SARACCHI;MARCAO;LUYINDAMA;ELABDELLAOUI;ANTALYALI;BABEL;BELHANDA;BAYRAM;KILINC;FALCAO
Gaziantep FK vs. Konyaspor - Saturday October 24 - 2020,Gaziantep FK,hard,5-3-2,GUVENC;VURAL;DJILOBODJI;KANA-BIYIK;TOSCA;CEYLAN;SOYALP;SOUSA;MAXIM;DICKO;OZER
Gaziantep FK vs. Konyaspor - Saturday October 24 - 2020,Konyaspor,hard,4-2-3-1,SEHIC;GUILHERME;BARDAKCI;CALIK;SKUBIC;JEVTOVIC;CAGIRAN;MIYA;MILOSEVIC;SAHINER;KRAVETS
Alanyaspor vs. Fatih Karagumruk - Sunday October 25 - 2020,Alanyaspor,hard,4-3-3,MARAFONA;MOUBANDJE;TZAVELLAS;CAULKER;MORENO;UCAN;SIOPIS;BAKASETAS;DAVIDSON;BAREIRO;KARACA
