game,team,difficulty,formation,lineup,lineup_numbers
Ankaragucu vs. Sivasspor - Saturday March 14 - 2009,Sivasspor,hard,4-4-2,PETKOVIC;ERDOGAN;BAYRAK;FABIO BILICA;SOZGELMEZ;DAGASAN;SYLLA;MOHAMED ALI;AYDIN;TUM;YILDIZ,1;33;27;3;5;24;8;20;7;54;9
Antalyaspor vs. Buyuksehir Belediyespor - Saturday March 14 - 2009,Antalyaspor,hard,4-4-2,CATKIC;CAN;AK;AYHAN;KAVUK;CEYLAN;ARSLAN;AGCAY;ZITOUNI;DJIEHOUA;TITA,1;3;6;2;67;81;58;15;11;29;86
Antalyaspor vs. Buyuksehir Belediyespor - Saturday March 14 - 2009,Buyuksehir Belediyespor,hard,4-4-2,ZULALOGLU;SUZEN;MARCUS VINICIUS;GULPINAR;ZENGIN;KILIC;INANC;TEKDEMIR;BURUK;ALIN;ADRIANO,14;81;22;60;15;35;6;21;7;12;19
Besiktas vs. Genclerbirligi - Saturday March 14 - 2009,Besiktas,easy,4-4-2,RECBER;UZULMEZ;SIVOK;ERNST;TORAMAN;TELLO;CISSE;DELGADO;DAG;BOBO;NOBRE,1;19;6;28;58;14;4;10;17;13;11
Besiktas vs. Genclerbirligi - Saturday March 14 - 2009,Genclerbirligi,hard,4-4-2,ISAILOVIC;MOMHA;EKER;AVCI;CAN;CUBUKCU;JEDINAK;TROISI;ASLANTAS;PEKTEMEK;KAHE,30;18;20;15;40;17;23;8;25;11;9
Konyaspor vs. Gaziantepspor - Saturday March 14 - 2009,Gaziantepspor,hard,4-5-1,SAHIN;KOYBASI;DEUMI;JULIO CESAR;SEKMAN;TABATA;BAYRAKTAR;CEYLAN;ZURITA;YOZGATLI;BETO,1;3;12;55;6;10;17;5;8;7;25
Konyaspor vs. Gaziantepspor - Saturday March 14 - 2009,Konyaspor,hard,4-2-3-1,BAHADIR;GULDUREN;GUNDOSTU;KRATOCHVIL;MIHAJLOV;DEMIR;ABDELAZIZ;KOCAK;BOLUKBASI;HASPOLATLI;CIHAN,61;3;4;27;32;42;12;77;15;20;50
Ankaraspor vs. Kayserispor - Sunday March 15 - 2009,Ankaraspor,hard,4-4-2,SENECKY;DEMIRKOL;BAHTIYAROGLU;YOLDAS;GUVEN;KISA;GUCER;KOCAK;TOSUN;CAKIR;KONATE,1;37;5;4;44;19;50;66;7;11;82
Ankaraspor vs. Kayserispor - Sunday March 15 - 2009,Kayserispor,hard,4-4-2,HAMIDOU;TOLEDO;GUNGOR;TOSCALI;TURAN;BOYRAZ;SAIDOU;DURAK;OZCAL;AGHAHOWA;CANGELE,16;12;35;25;5;67;7;87;90;17;10
Denizlispor vs. Hacettepe Spor - Sunday March 15 - 2009,Denizlispor,hard,4-5-1,ONGUN;CELEP;AKYILDIZ;BIRINCI;BERBEROVIC;VURAL;YIGEN;DANIEL BRAGA;ASKAROGLU;YILMAZER;ANGELOV,41;14;5;61;33;22;45;72;43;23;71
Denizlispor vs. Hacettepe Spor - Sunday March 15 - 2009,Hacettepe Spor,hard,4-4-2,BILER;SAHIN;BOZKURT;KULUSIC;YAVUZ;COSKUN;TOZO;BEKMEZCI;GUNGOR;TAMBWE;ZOKO,14;26;5;24;2;7;19;20;6;60;99
Eskisehirspor vs. Bursaspor - Sunday March 15 - 2009,Bursaspor,hard,4-4-2,IVANKOV;BEKIROGLU;ERDOGAN;UZUMCU;OZTURK;ACAR;KIRITA;ASLAN;TANDOGAN;TADEU;SHIN,27;18;4;35;38;20;8;14;21;29;80
Eskisehirspor vs. Bursaspor - Sunday March 15 - 2009,Eskisehirspor,hard,4-4-2,IVESA;COSKUN;NADAREVIC;VUCKO;ARSLAN;KOCABEY;TORAMAN;ERTUGRUL;BAYTAR;KARADENIZ;YOULA,1;75;13;27;51;21;23;55;61;8;11
Trabzonspor vs. Galatasaray - Sunday March 15 - 2009,Galatasaray,easy,4-4-2,DE SANCTIS;YAMAN;BALTA;ASIK;SARIOGLU;TURAN;AKMAN;GUVEN;OZBEK;KARAN;BAROS,26;74;22;21;55;66;18;87;8;99;15
Trabzonspor vs. Galatasaray - Sunday March 15 - 2009,Trabzonspor,easy,4-3-3,SYLVA;CALE;KORKMAZ;SONG;CORA;COLMAN;CIMSIR;INAN;ALANZINHO;UNAL;BULUT,1;3;16;4;18;20;5;8;25;9;10
Bursaspor vs. Fenerbahce - Friday March 20 - 2009,Bursaspor,hard,4-4-2,IVANKOV;KECELI;ERDOGAN;UZUMCU;OZTURK;SEN;SARP;HAS;ACAR;SHIN;YILDIRIM,27;23;4;35;38;10;15;6;20;80;9
Bursaspor vs. Fenerbahce - Friday March 20 - 2009,Fenerbahce,easy,4-4-2,DEMIREL;ROBERTO CARLOS;LUGANO;EDU DRACENA;GONUL;BORAL;SAHIN;BELOZOGLU;DEIVID;GUIZA;SENTURK,1;3;2;4;77;25;21;5;99;14;23
Buyuksehir Belediyespor vs. Konyaspor - Saturday March 21 - 2009,Buyuksehir Belediyespor,hard,4-4-2,ZULALOGLU;EKSIOGLU;DEPE;MARCUS VINICIUS;KUS;AKIN;INANC;KORKMAZ;TJIKUZU;ALIN;BEBBE,14;17;3;22;2;11;6;88;8;12;20
Buyuksehir Belediyespor vs. Konyaspor - Saturday March 21 - 2009,Konyaspor,hard,4-5-1,BAHADIR;GULDUREN;GUNDOSTU;KRATOCHVIL;MIHAJLOV;BOLUKBASI;TATAN;HASPOLATLI;DEMIR;POLJAC;CIHAN,61;3;4;27;32;15;5;20;42;22;50
Gaziantepspor vs. Trabzonspor - Saturday March 21 - 2009,Gaziantepspor,hard,4-5-1,SAHIN;KOYBASI;DEUMI;JULIO CESAR;IRTEGUN;YOZGATLI;BAYRAKTAR;TABATA;CEYLAN;ZURITA;BETO,1;3;12;55;4;7;17;10;5;8;25
Gaziantepspor vs. Trabzonspor - Saturday March 21 - 2009,Trabzonspor,easy,4-3-3,SYLVA;CALE;KORKMAZ;SONG;BALCI;INAN;CIMSIR;COLMAN;ALANZINHO;UNAL;BULUT,1;3;16;4;30;8;5;20;25;9;10
Hacettepe Spor vs. Antalyaspor - Saturday March 21 - 2009,Antalyaspor,hard,4-4-2,CATKIC;CAN;NIZAM;AYHAN;KAVUK;CEYLAN;ARSLAN;AGCAY;ZITOUNI;DJIEHOUA;TITA,1;3;90;2;67;81;58;15;11;29;86
Hacettepe Spor vs. Antalyaspor - Saturday March 21 - 2009,Hacettepe Spor,hard,4-4-2,BILER;YAVUZ;KALKAN;KULUSIC;SAM;SAHIN;COSKUN;TOZO;GUNGOR;TAMBWE;ZOKO,14;2;69;24;67;26;7;19;6;60;99
Kayserispor vs. Ankaragucu - Saturday March 21 - 2009,Ankaragucu,hard,4-4-2,KIRINTILI;OZKAYNAK;BOUZID;SUME;OZSARAC;DURUER;SERAS;BARUT;OZGUR;DE NIGRIS;JABA,1;39;15;3;2;11;34;23;18;12;9
Kayserispor vs. Ankaragucu - Saturday March 21 - 2009,Kayserispor,hard,4-5-1,HAMIDOU;OZER;GUNGOR;TOSCALI;TURAN;BOYRAZ;TOPUZ;DURAK;OZCAL;CANGELE;BAHADIR,16;15;35;25;5;67;66;87;90;10;22
Kocaelispor vs. Ankaraspor - Saturday March 21 - 2009,Ankaraspor,hard,4-4-2,SENECKY;KAHYA;BATAK;YOLDAS;GUVEN;KISA;GUCER;KOCAK;TOSUN;CAKIR;KONATE,1;88;13;4;44;19;50;66;7;11;82
Kocaelispor vs. Ankaraspor - Saturday March 21 - 2009,Kocaelispor,hard,4-4-2,KOPUZ;TEBER;OZDIN;SADYQOV;ROSS;HACIOGLU;NSUMBU;KARTOP;CALIK;GULLERI;AKEEM AGBETU,14;63;91;1;35;30;13;2;9;19;80
Sivasspor vs. Besiktas - Saturday March 21 - 2009,Besiktas,easy,4-4-2,RECBER;UZULMEZ;SIVOK;ZAPOTOCNY;TORAMAN;TELLO;ERNST;SIMSEK;DAG;BOBO;HOLOSKO,1;19;6;26;58;14;28;29;17;13;23
Sivasspor vs. Besiktas - Saturday March 21 - 2009,Sivasspor,hard,4-4-2,PETKOVIC;SOZGELMEZ;BAYRAK;FABIO BILICA;SYLLA;ERDOGAN;DAGASAN;BADUR;AYDIN;YILDIZ;TUM,1;5;27;3;8;33;24;26;7;9;54
Galatasaray vs. Eskisehirspor - Sunday March 22 - 2009,Eskisehirspor,hard,4-4-2,IVESA;COSKUN;EL SAKA;NADAREVIC;ARSLAN;OZBAYRAKTAR;ERTUGRUL;KAYA;BAYTAR;KARADENIZ;YOULA,1;75;4;13;51;10;55;20;61;8;11
Galatasaray vs. Eskisehirspor - Sunday March 22 - 2009,Galatasaray,easy,4-4-2,DE SANCTIS;YAMAN;BALTA;ASIK;KURTULUS;TURAN;AKMAN;OZBEK;SARIOGLU;KARAN;KEWELL,26;74;22;21;23;66;18;8;55;99;19
Genclerbirligi vs. Denizlispor - Sunday March 22 - 2009,Denizlispor,hard,4-4-2,ONGUN;VURAL;AKYILDIZ;YIGEN;BIRINCI;ASKAROGLU;ALADAG;DANIEL BRAGA;BANGOURA;ROBERTS;ANGELOV,41;22;5;45;61;43;24;72;15;11;71
Genclerbirligi vs. Denizlispor - Sunday March 22 - 2009,Genclerbirligi,hard,4-2-3-1,ISAILOVIC;MOMHA;EKER;AVCI;CAN;JEDINAK;CUBUKCU;AYDOGDU;TROISI;ESER;PEKTEMEK,30;18;20;15;40;23;17;91;8;21;11
Ankaraspor vs. Bursaspor - Saturday April 4 - 2009,Ankaraspor,hard,4-2-3-1,SENECKY;KAHYA;BATAK;BAHTIYAROGLU;GUVEN;GUCER;KOCAK;KISA;NECA;TOSUN;CAKIR,1;88;13;5;44;50;66;19;23;7;11
