game,team,difficulty,formation,lineup,lineup_numbers,lineup_goals,lineup_assists,lineup_cards,lineup_yellow_cards,lineup_red_cards,lineup_substitutions,source_match_id
Gaziantep FK vs. Goztepe - Monday September 30 - 2019,Gaziantep FK,hard,3-4-3,GUVENC;KANA-BIYIK;DJILOBODJI;TOSCA;JUNIOR MORAIS;TETTEH;DIARRA;CEYLAN;VURAL;DEMIR;TWUMASI,1;76;3;6;13;55;18;17;11;14;27,0;0;0;0;0;0;0;0;1;0;0,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;1;0;1;0;0;0;0,0;0;0;0;1;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;1;1;0;0;1;0,3223059
Gaziantep FK vs. Goztepe - Monday September 30 - 2019,Goztepe,hard,4-2-3-1,BETO;EMIR;TITI;OZTURK;GASSAMA;CASTRO;AYDOGDU;NAPOLEONI;MARCIO MOSSORO;GURLER;JEROME,13;41;4;5;20;8;88;99;10;11;32,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;1;0;0,1;0;0;0;1;0;0;0;1;1;0,0;0;0;0;1;0;0;0;1;1;0,1;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;1;1;0;0;0,3223059
Fenerbahce vs. Antalyaspor - Friday October 4 - 2019,Antalyaspor,hard,4-3-3,BOFFIN;CELUSTKA;DIEGO ANGELO;OZTURK;SANGARE;OZMERT;CHICO;AKYOL;CHAHECHOUHE;GELSON DALA;AMILTON,25;28;3;5;30;88;20;19;92;10;23,0;0;0;0;0;0;0;1;0;0;0,0;0;0;0;0;0;0;0;0;0;0,1;0;0;0;0;1;0;0;0;0;0,1;0;0;0;0;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;0;0;0;1;1,3223071
Fenerbahce vs. Antalyaspor - Friday October 4 - 2019,Fenerbahce,easy,4-2-3-1,BAYINDIR;DIRAR;ZANKA;JAILSON;ISLA;LUIZ GUSTAVO;BELOZOGLU;CIGERCI;KRUSE;TUFAN;MURIQI,98;17;32;25;4;20;5;14;10;7;94,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;1;0;0;0;0,0;0;1;0;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;1;0;0;0;1;1;0;0;0,3223071
Yeni Malatyaspor vs. Denizlispor - Friday October 4 - 2019,Denizlispor,hard,4-3-3,STACHOWIAK;BERGDICH;SAPUNARU;YILMAZ;LOPES;MURAWSKI;SACKEY;YAVRU;BARROW;RODALLEGA;SAHAN,33;21;22;15;2;8;90;61;77;7;70,0;0;0;0;0;0;0;0;0;1;0,0;0;0;0;0;0;0;0;0;0;0,1;0;1;1;1;1;0;0;0;0;1,1;0;1;1;1;1;0;0;0;0;1,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;0;1;1;1,3223068
Yeni Malatyaspor vs. Denizlispor - Friday October 4 - 2019,Yeni Malatyaspor,hard,4-2-3-1,FARNOLLE;AYTAC;HADEBE;YALCIN;CHEBAKE;YILDIRIM;ACQUAH;FOFANA;DONALD;GUILHERME;JAHOVIC,30;91;16;6;29;8;19;21;20;66;18,0;0;0;0;0;0;0;0;1;0;4,0;0;0;0;1;0;0;1;0;2;0,0;1;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;0;0;0;0;0;1;1;0;0,3223068
Genclerbirligi vs. Galatasaray - Saturday October 5 - 2019,Galatasaray,easy,4-3-3,MUSLERA;NAGATOMO;MARCAO;DONK;MARIANO;BELHANDA;NZONZI;INAN;BABEL;ANDONE;FEGHOULI,1;55;45;15;22;10;92;8;11;23;89,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;1;1;0;0;0;0;0,0;0;0;1;1;1;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,3223070
Genclerbirligi vs. Galatasaray - Saturday October 5 - 2019,Genclerbirligi,hard,4-2-3-1,OZBIR;POLOMAT;RAMOS;TOURE;OGUZ;FABRICIO BAIANO;SESSEGNON;AYITE;CANDEIAS;BERISBEK;SIO,25;39;32;15;2;8;10;11;21;19;13,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;1;1;1;2;0;0;0;0;0;1,0;1;1;1;1;0;0;0;0;0;1,0;0;0;0;1;0;0;0;0;0;0,0;0;0;0;0;1;0;1;0;1;0,3223070
Goztepe vs. Kayserispor - Saturday October 5 - 2019,Goztepe,hard,4-1-4-1,BAKIRBAS;EMIR;TITI;OZTURK;GASSAMA;POKO;GURLER;MARCIO MOSSORO;AYDOGDU;NAPOLEONI;JEROME,1;41;4;5;20;17;11;10;88;99;32,0;0;0;1;0;0;0;0;1;2;0,0;1;0;0;0;0;1;0;1;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;1;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;1;1;1;0;0,3223075
Goztepe vs. Kayserispor - Saturday October 5 - 2019,Kayserispor,hard,4-2-3-1,SILVIU LUNG JR;TURAN;ABDENNOUR;POULAIN;LOPES;DJA DJEDJE;RIENSTRA;KORKMAZ;ACAR;BULUT;NTEP,33;15;5;6;13;27;38;17;8;9;29,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;1;0;0;1;0;0;0;0,0;0;0;1;0;0;1;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;1;0;1;1,3223075
