game,team,difficulty,formation,lineup
Sivasspor vs. Konyaspor - Saturday September 19 - 2015,Sivasspor,hard,4-4-2,SETKUS;ERDAL;KURT;OZTURK;CICINHO;CHAHECHOUHE;KONE;KOCAK;ESER;BARRALES;ABALO
Trabzonspor vs. Galatasaray - Saturday September 19 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;CAROLE;BALTA;KAYA;DENAYER;RODRIGUEZ;KISA;PODOLSKI;SNEIJDER;OZTEKIN;YILMAZ
Trabzonspor vs. Galatasaray - Saturday September 19 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;CONSTANT;DOUGLAS;YUMLU;CAVANDA;MBIA;YOKUSLU;ZENGIN;MARIN;HURMACI;N'DOYE
Fenerbahce vs. Bursaspor - Sunday September 20 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;BEHICH;AZIZ;NOUNKEU;ADVINCULA;HOSOGAI;FATY;TASDEMIR;JOSUE;DZSUDZSAK;NECID
Fenerbahce vs. Bursaspor - Sunday September 20 - 2015,Fenerbahce,easy,4-3-3,DEMIREL;KALDIRIM;KADLEC;ALVES;OZBAYRAKLI;TUFAN;TOPAL;MEIRELES;NANI;FERNANDAO;MARKOVIC
Gaziantepspor vs. Kayserispor - Sunday September 20 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;MARCAL;SUME;VRANJES;YARDIMCI;CINAR;SEN;ABUDA;LARSSON;DEMIR;CHIBUIKE
Gaziantepspor vs. Kayserispor - Sunday September 20 - 2015,Kayserispor,hard,4-2-3-1,ARIKAN;AKBAS;MABIALA;SIMIC;YAVRU;SOW;DAGASAN;BISESWAR;OZCAL;BAYRAM;DERLEY
Genclerbirligi vs. Besiktas - Monday September 21 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;TOSIC;GULUM;RHODOLFO;BECK;HUTCHINSON;SOSA;SAHAN;QUARESMA;TORE;GOMEZ
Genclerbirligi vs. Besiktas - Monday September 21 - 2015,Genclerbirligi,hard,4-2-3-1,HOPF;CIFTCI;CALIK;KULUSIC;OGUZ;SKULASON;KAYA;STANCU;KAHVECI;DJALMA;EL KABIR
Akhisar Belediyespor vs. Genclerbirligi - Saturday September 26 - 2015,Akhisar Belediyespor,hard,4-4-2,LUKAC;KELES;DOUGLAO;OSMANPASA;CEBE;CELIK;CUSTODIO;YUCE;VURAL;RODALLEGA;LUALUA
Akhisar Belediyespor vs. Genclerbirligi - Saturday September 26 - 2015,Genclerbirligi,hard,4-2-3-1,KAPLAN;CIFTCI;CALIK;KULUSIC;OGUZ;SKULASON;KAYA;STANCU;KAHVECI;DJALMA;EL KABIR
Galatasaray vs. Gaziantepspor - Saturday September 26 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;CAROLE;BALTA;KAYA;DENAYER;RODRIGUEZ;KISA;PODOLSKI;SNEIJDER;OZTEKIN;BULUT
Galatasaray vs. Gaziantepspor - Saturday September 26 - 2015,Gaziantepspor,hard,4-4-2,KARCEMARSKAS;SEDEF;SUME;VRANJES;YARDIMCI;CINAR;SEN;ABUDA;LARSSON;DEMIR;CHIBUIKE
Osmanlispor Fk vs. Trabzonspor - Saturday September 26 - 2015,Osmanlispor Fk,hard,4-2-3-1,SAHIN;BAYIR;DEMIROK;SORO;ASLANTAS;GUVEN;CAGIRAN;KILICASLAN;NDIAYE;TORJE;WEBO
Osmanlispor Fk vs. Trabzonspor - Saturday September 26 - 2015,Trabzonspor,easy,4-2-3-1,KIVRAK;ULUDAG;DOUGLAS;YUMLU;CAVANDA;MBIA;EKICI;ERDOGAN;MARIN;ZENGIN;CARDOZO
Antalyaspor vs. Sivasspor - Sunday September 27 - 2015,Antalyaspor,hard,4-4-2,FORNEZZI;KVESIC;DIEGO ANGELO;ARAT;CELUSTKA;LAZAREVIC;BEKMEZCI;YILDIRIM;BASSAN;ETO'O;GUILHERME
Antalyaspor vs. Sivasspor - Sunday September 27 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;KURT;OZTURK;BOYE;KONE;KOCAK;KAS;CHAHECHOUHE;ESER;BARRALES
Besiktas vs. Fenerbahce - Sunday September 27 - 2015,Besiktas,easy,4-2-3-1,ZENGIN;TOSIC;GULUM;RHODOLFO;BECK;HUTCHINSON;OZYAKUP;SAHAN;SOSA;TORE;GOMEZ
Besiktas vs. Fenerbahce - Sunday September 27 - 2015,Fenerbahce,easy,4-3-3,DEMIREL;ERKIN;ALVES;KJAER;OZBAYRAKLI;TUFAN;TOPAL;MEIRELES;NANI;FERNANDAO;MARKOVIC
Konyaspor vs. Mersin Idmanyurdu - Sunday September 27 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;USLU;VUKOVIC;TURAN;SAHINER;MEHA;CAMDALI;HOLMEN;SISSOKO;RANGELOV;TRAORE
Konyaspor vs. Mersin Idmanyurdu - Sunday September 27 - 2015,Mersin Idmanyurdu,hard,4-3-3,YILDIRIM;WEDERSON;MITROVIC;CETIN;BALCI;CEYLAN;SADIKU;KHALILI;NAKOULMA;WELLITON;VAROL
Bursaspor vs. Eskisehirspor - Monday September 28 - 2015,Bursaspor,hard,4-2-3-1,GUNOK;BEHICH;AZIZ;NOUNKEU;ADVINCULA;FATY;JORQUERA;STOCH;JOSUE;DZSUDZSAK;NECID
Bursaspor vs. Eskisehirspor - Monday September 28 - 2015,Eskisehirspor,hard,4-2-3-1,BOFFIN;CEK;KARAER;COSKUN;PARLAK;TOKO;DEFEDERICO;BEKDEMIR;BEN KHALIFA;KANAK;GEKAS
Kasimpasa vs. Rizespor - Monday September 28 - 2015,Kasimpasa,hard,4-2-3-1,ISAKSSON;VEIGNEAU;TITI;OMERUO;KARTAL;DONK;CASTRO;DEL VALLE;SCARIONE;TORUN;BUYUK
Kasimpasa vs. Rizespor - Monday September 28 - 2015,Rizespor,hard,4-4-2,ITANDJE;ALBAYRAK;OBOABONA;VIERA;YALCIN;ISMAIL;ALTINAY;MAKIADI;OZEK;KWEUKE;KADAH
Kayserispor vs. Basaksehir - Monday September 28 - 2015,Basaksehir,hard,4-2-3-1,BABACAN;ERDEM;AYHAN;IRTEGUN;ALKILIC;BADJI;TEKDEMIR;SAHIN;MARCIO MOSSORO;VISCA;BATDAL
Kayserispor vs. Basaksehir - Monday September 28 - 2015,Kayserispor,hard,4-2-3-1,ARIKAN;AKBAS;MABIALA;SIMIC;YAVRU;SOW;OZCAL;BAYRAM;BISESWAR;TURUC;DERLEY
Sivasspor vs. Mersin Idmanyurdu - Friday October 2 - 2015,Mersin Idmanyurdu,hard,4-3-3,YILDIRIM;WEDERSON;MITROVIC;CETIN;BALCI;CEYLAN;SADIKU;KHALILI;NAKOULMA;WELLITON;VAROL
Sivasspor vs. Mersin Idmanyurdu - Friday October 2 - 2015,Sivasspor,hard,4-2-3-1,SETKUS;ERDAL;BOYE;OZTURK;CICINHO;KONE;KOCAK;KAS;CHAHECHOUHE;ESER;BARRALES
Trabzonspor vs. Konyaspor - Friday October 2 - 2015,Konyaspor,hard,4-4-2,KIRINTILI;USLU;VUKOVIC;TURAN;SAHINER;MEHA;CAMDALI;HOLMEN;TRAORE;RANGELOV;BAJIC
Trabzonspor vs. Konyaspor - Friday October 2 - 2015,Trabzonspor,easy,4-2-3-1,ALVARADO;CONSTANT;DOUGLAS;YUMLU;CAVANDA;MEDJANI;YOKUSLU;ZENGIN;MARIN;ERDOGAN;N'DOYE
Basaksehir vs. Galatasaray - Saturday October 3 - 2015,Basaksehir,hard,4-3-3,BABACAN;OZTORUN;AYHAN;IRTEGUN;ALKILIC;BADJI;TEKDEMIR;BELOZOGLU;VISCA;BATDAL;SAHIN
Basaksehir vs. Galatasaray - Saturday October 3 - 2015,Galatasaray,easy,4-2-3-1,MUSLERA;CAROLE;BALTA;CHEDJOU;DENAYER;INAN;KISA;PODOLSKI;SNEIJDER;OZTEKIN;GUMUS
